Valor,Original,Equalizado 
0,7,0 
1,2,35166 
2,6,59011 
3,9,71911 
4,8,68249 
5,8,56016 
6,19,112622 
7,25,0 
8,42,0 
9,60,164212 
10,98,95012 
11,109,0 
12,171,89474 
13,247,128253 
14,319,0 
15,496,139429 
16,743,105533 
17,1057,0 
18,1392,0 
19,2073,160846 
20,2941,0 
21,4786,118039 
22,8148,184898 
23,16252,0 
24,26854,0 
25,43654,128370 
26,69651,185866 
27,114753,0 
28,172236,0 
29,235603,0 
30,303931,355824 
31,366714,0 
32,426697,0 
33,478042,0 
34,518528,203608 
35,547108,0 
36,558823,142116 
37,558388,0 
38,548590,0 
39,530839,242311 
40,510273,0 
41,483093,146216 
42,451520,213982 
43,421692,0 
44,392759,0 
45,365264,0 
46,341604,0 
47,318922,148602 
48,300532,251076 
49,283223,0 
50,266377,216298 
51,251773,0 
52,238924,148296 
53,226896,0 
54,214912,0 
55,205578,0 
56,195233,0 
57,186937,146066 
58,179110,462860 
59,171124,0 
60,164395,0 
61,157921,0 
62,151083,0 
63,144876,143150 
64,138945,0 
65,133017,206692 
66,127220,240046 
67,122170,0 
68,116385,138369 
69,111258,0 
70,106749,0 
71,102738,0 
72,97828,0 
73,94017,326281 
74,90919,0 
75,86888,224355 
76,83831,0 
77,79994,123756 
78,77636,0 
79,74745,181321 
80,72572,0 
81,69383,0 
82,67594,323980 
83,65357,0 
84,63441,0 
85,61415,167885 
86,60324,110884 
87,58775,0 
88,57429,0 
89,56243,188542 
90,54542,104096 
91,54088,155344 
92,52902,0 
93,52328,98630 
94,51781,0 
95,51113,0 
96,50429,171391 
97,49824,237059 
98,49599,0 
99,49021,0 
100,48408,88171 
101,48069,133658 
102,47638,157203 
103,46649,83783 
104,46536,0 
105,46735,0 
106,46484,204709 
107,46049,145052 
108,46097,0 
109,46323,76305 
110,45513,116613 
111,46056,0 
112,45268,205298 
113,45353,0 
114,45404,176805 
115,45452,0 
116,45852,122875 
117,45594,65453 
118,45413,100797 
119,45277,62153 
120,45522,0 
121,45267,173480 
122,44949,93699 
123,45177,56675 
124,45249,105824 
125,45444,143067 
126,44978,0 
127,44997,52145 
128,44623,180638 
129,44916,50832 
130,45011,0 
131,44705,126475 
132,44642,92308 
133,44635,119683 
134,44375,45513 
135,44637,87558 
136,43637,114133 
137,44008,43179 
138,43611,82827 
139,43989,109187 
140,43586,0 
141,43634,185263 
142,43350,41250 
143,43565,62975 
144,43307,114493 
145,43366,39560 
146,43466,134558 
147,42818,38909 
148,43221,97612 
149,43058,106525 
150,42657,58290 
151,43073,103702 
152,42976,90697 
153,43044,33740 
154,43148,151375 
155,43611,31081 
156,43255,113531 
157,43471,29598 
158,43219,136945 
159,43618,71234 
160,43266,83338 
161,43216,90648 
162,43125,115588 
163,43039,22099 
164,42910,108459 
165,42876,74066 
166,42985,98271 
167,42875,66208 
168,43013,90004 
169,42269,101542 
170,42124,57374 
171,42265,94015 
172,42162,75029 
173,41955,86219 
174,42530,50254 
175,42518,102626 
176,42701,77828 
177,42513,76046 
178,42782,93408 
179,42667,71784 
180,42795,101980 
181,42771,68657 
182,42532,108967 
183,42786,65162 
184,43173,81321 
185,42614,80524 
186,42776,83610 
187,42425,77919 
188,42444,76576 
189,42669,92572 
190,41898,74996 
191,42096,93432 
192,41871,74937 
193,41918,77501 
194,41848,74623 
195,41456,92871 
196,41436,75404 
197,41133,78509 
198,40754,76536 
199,40420,94884 
200,40142,77952 
201,39564,65863 
202,38821,78146 
203,38410,95904 
204,37779,63485 
205,37322,97124 
206,36591,81518 
207,36493,79449 
208,35927,80793 
209,35107,80583 
210,34427,83018 
211,34404,65661 
212,33297,99968 
213,32721,66957 
214,32488,82895 
215,31594,100378 
216,30796,50111 
217,30260,99829 
218,29353,82638 
219,28695,67971 
220,28625,82001 
221,27144,98702 
222,26788,64505 
223,25951,82688 
224,25233,78415 
225,25146,95676 
226,24388,61467 
227,23817,94158 
228,22916,75351 
229,22093,93576 
230,21461,59884 
231,20667,94654 
232,19428,88140 
233,18677,75734 
234,17618,95596 
235,16632,60559 
236,15574,75702 
237,14273,95246 
238,13329,75156 
239,12332,90639 
240,10936,73751 
241,10223,72744 
242,8991,102168 
243,8398,69878 
244,7665,80144 
245,6595,86901 
246,6495,75035 
247,5766,88815 
248,5697,84070 
249,4983,74308 
250,5159,79444 
251,4927,94880 
252,4940,75562 
253,5312,85416 
254,5406,84492 
255,21979,44430 
